country,year,R,isolates,source,AMR,IncomeGroup
3,2015,0.000210084,4760,EARS-Net,CREC,High-income
3,2015,0.096734694,4900,EARS-Net,3GCREC,High-income
3,2015,0.007827789,1022,EARS-Net,CRKP,High-income
3,2015,0.083809524,1050,EARS-Net,3GCRKP,High-income
3,2015,0.122058824,680,EARS-Net,CRPA,High-income
3,2016,0.12345679,81,EARS-Net,CRAB,High-income
3,2016,0.00019478,5134,EARS-Net,CREC,High-income
3,2016,0.100056958,5267,EARS-Net,3GCREC,High-income
3,2016,0.006677796,1198,EARS-Net,CRKP,High-income
3,2016,0.095582329,1245,EARS-Net,3GCRKP,High-income
3,2016,0.129310345,696,EARS-Net,CRPA,High-income
3,2017,0.066666667,75,EARS-Net,CRAB,High-income
3,2017,0.000191314,5227,EARS-Net,CREC,High-income
3,2017,0.096315071,5129,EARS-Net,3GCREC,High-income
3,2017,0.009918846,1109,EARS-Net,CRKP,High-income
3,2017,0.085820896,1072,EARS-Net,3GCRKP,High-income
3,2017,0.139310345,725,EARS-Net,CRPA,High-income
3,2018,0.043956044,91,EARS-Net,CRAB,High-income
3,2018,0.000718907,5564,EARS-Net,CREC,High-income
3,2018,0.102080395,5672,EARS-Net,3GCREC,High-income
3,2018,0.010135135,1184,EARS-Net,CRKP,High-income
3,2018,0.083538084,1221,EARS-Net,3GCRKP,High-income
3,2018,0.127717391,736,EARS-Net,CRPA,High-income
3,2019,0.074074074,81,EARS-Net,CRAB,High-income
3,2019,0,5935,EARS-Net,CREC,High-income
3,2019,0.093187029,6106,EARS-Net,3GCREC,High-income
3,2019,0.012345679,1296,EARS-Net,CRKP,High-income
3,2019,0.10331825,1326,EARS-Net,3GCRKP,High-income
3,2019,0.133587786,786,EARS-Net,CRPA,High-income
3,2020,0.072463768,69,EARS-Net,CRAB,High-income
3,2020,0.000972573,5141,EARS-Net,CREC,High-income
3,2020,0.09468006,5376,EARS-Net,3GCREC,High-income
3,2020,0.009478673,1055,EARS-Net,CRKP,High-income
3,2020,0.078291815,1124,EARS-Net,3GCRKP,High-income
3,2020,0.150805271,683,EARS-Net,CRPA,High-income
3,2021,0.1,70,EARS-Net,CRAB,High-income
3,2021,0.000192086,5206,EARS-Net,CREC,High-income
3,2021,0.082896876,5537,EARS-Net,3GCREC,High-income
3,2021,0.009764036,1229,EARS-Net,CRKP,High-income
3,2021,0.098084291,1305,EARS-Net,3GCRKP,High-income
3,2021,0.158751696,737,EARS-Net,CRPA,High-income
3,2022,0.031914894,94,EARS-Net,CRAB,High-income
3,2022,0.001206515,4973,EARS-Net,CREC,High-income
3,2022,0.083202512,5096,EARS-Net,3GCREC,High-income
3,2022,0.008821171,1247,EARS-Net,CRKP,High-income
3,2022,0.095701541,1233,EARS-Net,3GCRKP,High-income
3,2022,0.163958641,677,EARS-Net,CRPA,High-income
4,2016,0.01,72,GLASS,CREC,High-income
4,2016,0.5,72,GLASS,3GCREC,High-income
4,2017,0.19,169,GLASS,CRKP,High-income
4,2017,0.45,169,GLASS,3GCRKP,High-income
4,2018,0.74,81,GLASS,CRAB,High-income
4,2018,0.02,199,GLASS,CREC,High-income
4,2018,0.43,199,GLASS,3GCREC,High-income
4,2018,0.21,125,GLASS,CRKP,High-income
4,2018,0.46,125,GLASS,3GCRKP,High-income
4,2019,0.67,90,GLASS,CRAB,High-income
4,2019,0.03,197,GLASS,CREC,High-income
4,2019,0.54,197,GLASS,3GCREC,High-income
4,2019,0.29,207,GLASS,CRKP,High-income
4,2019,0.54,209,GLASS,3GCRKP,High-income
4,2020,0.92,96,GLASS,CRAB,High-income
4,2020,0.05,127,GLASS,CREC,High-income
4,2020,0.59,127,GLASS,3GCREC,High-income
4,2020,0.43,168,GLASS,CRKP,High-income
4,2020,0.67,168,GLASS,3GCRKP,High-income
5,2019,0.26,31,GLASS,CREC,Upper-middle-income
5,2019,0.87,30,GLASS,3GCREC,Upper-middle-income
6,2012,0.81,118,CAESAR,CRAB,Low-income
6,2012,0.87,30,CAESAR,3GCREC,Low-income
6,2012,0.03,65,CAESAR,CRKP,Low-income
6,2012,0.92,76,CAESAR,3GCRKP,Low-income
6,2014,0.92,288,CAESAR,CRAB,Low-income
6,2014,0.06,53,CAESAR,CREC,Low-income
6,2014,0.71,55,CAESAR,3GCREC,Low-income
6,2014,0.56,229,CAESAR,CRKP,Low-income
6,2014,0.9,227,CAESAR,3GCRKP,Low-income
6,2014,0.94,77,CAESAR,CRPA,Low-income
6,2015,0.94,262,CAESAR,CRAB,Low-income
6,2015,0.1,86,CAESAR,CREC,Low-income
6,2015,0.63,93,CAESAR,3GCREC,Low-income
6,2015,0.67,249,CAESAR,CRKP,Low-income
6,2015,0.88,273,CAESAR,3GCRKP,Low-income
6,2015,0.86,88,CAESAR,CRPA,Low-income
6,2016,0.82,330,CAESAR,CRAB,Low-income
6,2016,0.12,106,CAESAR,CREC,Low-income
6,2016,0.61,83,CAESAR,3GCREC,Low-income
6,2016,0.68,321,CAESAR,CRKP,Low-income
6,2016,0.88,226,CAESAR,3GCRKP,Low-income
6,2016,0.76,79,CAESAR,CRPA,Low-income
6,2017,0.92,349,Others,CRAB,Low-income
6,2017,0.11,150,Others,CREC,Low-income
6,2017,0.5,130,Others,3GCREC,Low-income
6,2017,0.75,464,Others,CRKP,Low-income
6,2017,0.88,364,Others,3GCRKP,Low-income
6,2017,0.81,93,Others,CRPA,Low-income
6,2018,0.96,393,CAESAR,CRAB,Low-income
6,2018,0.07,136,CAESAR,CREC,Low-income
6,2018,0.55,120,CAESAR,3GCREC,Low-income
6,2018,0.78,563,CAESAR,CRKP,Low-income
6,2018,0.87,448,CAESAR,3GCRKP,Low-income
6,2018,0.74,69,CAESAR,CRPA,Low-income
6,2019,0.96,347,CAESAR,CRAB,Low-income
6,2019,0.06,137,CAESAR,CREC,Low-income
6,2019,0.45,123,CAESAR,3GCREC,Low-income
6,2019,0.77,551,CAESAR,CRKP,Low-income
6,2019,0.87,52,CAESAR,CRPA,Low-income
7,2001,0.018018018,222,EARS-Net,3GCREC,High-income
7,2002,0.027942422,1181,EARS-Net,3GCREC,High-income
7,2003,0.034954407,1316,EARS-Net,3GCREC,High-income
7,2004,0.026465028,1587,EARS-Net,3GCREC,High-income
7,2005,0.036144578,1577,EARS-Net,3GCREC,High-income
7,2006,0.029102167,1615,EARS-Net,3GCREC,High-income
7,2007,0.039283253,1451,EARS-Net,3GCREC,High-income
7,2008,0.041873669,1409,EARS-Net,3GCREC,High-income
7,2009,0.064536341,1596,EARS-Net,3GCREC,High-income
7,2009,0.012048193,83,EARS-Net,CRKP,High-income
7,2009,0.147887324,142,EARS-Net,3GCRKP,High-income
7,2009,0.089552239,134,EARS-Net,CRPA,High-income
7,2010,0,1014,EARS-Net,CREC,High-income
7,2010,0.051741803,1952,EARS-Net,3GCREC,High-income
7,2010,0,116,EARS-Net,CRKP,High-income
7,2010,0.125874126,143,EARS-Net,3GCRKP,High-income
7,2010,0.046153846,130,EARS-Net,CRPA,High-income
7,2011,0,3989,EARS-Net,CREC,High-income
7,2011,0.060476788,3985,EARS-Net,3GCREC,High-income
7,2011,0.003095975,646,EARS-Net,CRKP,High-income
7,2011,0.136227545,668,EARS-Net,3GCRKP,High-income
7,2011,0.106753813,459,EARS-Net,CRPA,High-income
7,2012,0.000242777,4119,EARS-Net,CREC,High-income
7,2012,0.068830852,4097,EARS-Net,3GCREC,High-income
7,2012,0.00733945,545,EARS-Net,CRKP,High-income
7,2012,0.164814815,540,EARS-Net,3GCRKP,High-income
7,2012,0.097186701,391,EARS-Net,CRPA,High-income
7,2013,0.000471032,4246,EARS-Net,CREC,High-income
7,2013,0.079980252,4051,EARS-Net,3GCREC,High-income
7,2013,0.003236246,618,EARS-Net,CRKP,High-income
7,2013,0.153198653,594,EARS-Net,3GCRKP,High-income
7,2013,0.11003861,518,EARS-Net,CRPA,High-income
7,2014,0.000382555,2614,EARS-Net,CREC,High-income
7,2014,0.097430407,2802,EARS-Net,3GCREC,High-income
7,2014,0.004662005,429,EARS-Net,CRKP,High-income
7,2014,0.162886598,485,EARS-Net,3GCRKP,High-income
7,2014,0.101744186,344,EARS-Net,CRPA,High-income
7,2015,0,2588,EARS-Net,CREC,High-income
7,2015,0.096799074,2593,EARS-Net,3GCREC,High-income
7,2015,0.005141388,389,EARS-Net,CRKP,High-income
7,2015,0.197044335,406,EARS-Net,3GCRKP,High-income
7,2015,0.0390625,256,EARS-Net,CRPA,High-income
7,2016,0.025641026,78,EARS-Net,CRAB,High-income
7,2016,0.000520156,3845,EARS-Net,CREC,High-income
7,2016,0.104896976,3737,EARS-Net,3GCREC,High-income
7,2016,0.023916293,669,EARS-Net,CRKP,High-income
7,2016,0.228699552,669,EARS-Net,3GCRKP,High-income
7,2016,0.095890411,365,EARS-Net,CRPA,High-income
7,2017,0.06870229,131,EARS-Net,CRAB,High-income
7,2017,0.000214041,4672,EARS-Net,CREC,High-income
7,2017,0.097388699,4672,EARS-Net,3GCREC,High-income
7,2017,0.011378003,791,EARS-Net,CRKP,High-income
7,2017,0.193026152,803,EARS-Net,3GCRKP,High-income
7,2017,0.082278481,474,EARS-Net,CRPA,High-income
7,2018,0.037878788,132,EARS-Net,CRAB,High-income
7,2018,0.000646412,4641,EARS-Net,CREC,High-income
7,2018,0.090223945,4644,EARS-Net,3GCREC,High-income
7,2018,0.013903743,935,EARS-Net,CRKP,High-income
7,2018,0.213903743,935,EARS-Net,3GCRKP,High-income
7,2018,0.073921971,487,EARS-Net,CRPA,High-income
7,2019,0,94,EARS-Net,CRAB,High-income
7,2019,0.000509424,3926,EARS-Net,CREC,High-income
7,2019,0.0998222,3937,EARS-Net,3GCREC,High-income
7,2019,0.010568032,757,EARS-Net,CRKP,High-income
7,2019,0.194993412,759,EARS-Net,3GCRKP,High-income
7,2019,0.106818182,440,EARS-Net,CRPA,High-income
7,2020,0.0125,160,EARS-Net,CRAB,High-income
7,2020,0.000242365,4126,EARS-Net,CREC,High-income
7,2020,0.098842593,4320,EARS-Net,3GCREC,High-income
7,2020,0.011350738,881,EARS-Net,CRKP,High-income
7,2020,0.197368421,912,EARS-Net,3GCRKP,High-income
7,2020,0.124472574,474,EARS-Net,CRPA,High-income
7,2021,0.011976048,167,EARS-Net,CRAB,High-income
7,2021,0.000423549,4722,EARS-Net,CREC,High-income
7,2021,0.082609617,4721,EARS-Net,3GCREC,High-income
7,2021,0.014038877,926,EARS-Net,CRKP,High-income
7,2021,0.188984881,926,EARS-Net,3GCRKP,High-income
7,2021,0.106471816,479,EARS-Net,CRPA,High-income
7,2022,0.023809524,168,EARS-Net,CRAB,High-income
7,2022,0.000698324,4296,EARS-Net,CREC,High-income
7,2022,0.087555556,4500,EARS-Net,3GCREC,High-income
7,2022,0.014371257,835,EARS-Net,CRKP,High-income
7,2022,0.183162685,879,EARS-Net,3GCRKP,High-income
7,2022,0.148230088,452,EARS-Net,CRPA,High-income
8,2019,0.26,47,GLASS,CREC,Upper-middle-income
8,2019,0.59,118,GLASS,3GCREC,Upper-middle-income
8,2019,0.51,35,GLASS,3GCRKP,Upper-middle-income
8,2020,0.12,41,GLASS,CREC,Upper-middle-income
8,2020,0.54,89,GLASS,3GCREC,Upper-middle-income
9,2015,0.89,180,CAESAR,CRAB,Low-income
9,2015,0,175,CAESAR,CREC,Low-income
9,2015,0.23,173,CAESAR,3GCREC,Low-income
9,2015,0.08,177,CAESAR,CRKP,Low-income
9,2015,0.77,177,CAESAR,3GCRKP,Low-income
9,2015,0.2,71,CAESAR,CRPA,Low-income
9,2016,0.91,158,CAESAR,CRAB,Low-income
9,2016,0.02,191,CAESAR,CREC,Low-income
9,2016,0.23,215,CAESAR,3GCREC,Low-income
9,2016,0.11,150,CAESAR,CRKP,Low-income
9,2016,0.72,149,CAESAR,3GCRKP,Low-income
9,2016,0.31,61,CAESAR,CRPA,Low-income
9,2017,0.95,122,Others,CRAB,Low-income
9,2017,0.02,183,Others,CREC,Low-income
9,2017,0.25,194,Others,3GCREC,Low-income
9,2017,0.16,145,Others,CRKP,Low-income
9,2017,0.63,150,Others,3GCRKP,Low-income
9,2017,0.28,57,Others,CRPA,Low-income
9,2018,0.94,141,CAESAR,CRAB,Low-income
9,2018,0,249,CAESAR,CREC,Low-income
9,2018,0.2,250,CAESAR,3GCREC,Low-income
9,2018,0.21,207,CAESAR,CRKP,Low-income
9,2018,0.71,207,CAESAR,3GCRKP,Low-income
9,2018,0.34,79,CAESAR,CRPA,Low-income
9,2019,0.97,229,CAESAR,CRAB,Low-income
9,2019,0,290,CAESAR,CREC,Low-income
9,2019,0.2,290,CAESAR,3GCREC,Low-income
9,2019,0.42,211,CAESAR,CRKP,Low-income
9,2019,0.79,211,CAESAR,3GCRKP,Low-income
9,2019,0.48,81,CAESAR,CRPA,Low-income
9,2020,0.98,348,GLASS,CRAB,Low-income
9,2020,0,179,GLASS,CREC,Low-income
9,2020,0.23,179,GLASS,3GCREC,Low-income
9,2020,0.44,206,GLASS,CRKP,Low-income
9,2020,0.76,207,GLASS,3GCRKP,Low-income
10,2018,0.01,102,GLASS,CREC,Low-income
10,2018,0.16,82,GLASS,3GCREC,Low-income
10,2018,0.24,86,GLASS,CRKP,Low-income
10,2018,0.49,87,GLASS,3GCRKP,Low-income
10,2019,0.67,54,GLASS,CRAB,Low-income
10,2019,0.01,160,GLASS,CREC,Low-income
10,2019,0.28,155,GLASS,3GCREC,Low-income
10,2019,0.21,157,GLASS,CRKP,Low-income
10,2019,0.54,150,GLASS,3GCRKP,Low-income
11,2019,0.74,99,GLASS,CRAB,High-income
11,2019,0.01,173,GLASS,CREC,High-income
11,2019,0.18,174,GLASS,3GCREC,High-income
11,2019,0.05,110,GLASS,CRKP,High-income
11,2019,0.16,111,GLASS,3GCRKP,High-income
11,2020,0.78,134,GLASS,CRAB,High-income
11,2020,0.01,181,GLASS,CREC,High-income
11,2020,0.17,185,GLASS,3GCREC,High-income
11,2020,0.05,169,GLASS,CRKP,High-income
11,2020,0.17,169,GLASS,3GCRKP,High-income
12,2001,0,71,EARS-Net,CREC,Upper-middle-income
12,2001,0.066666667,90,EARS-Net,3GCREC,Upper-middle-income
12,2002,0,94,EARS-Net,CREC,Upper-middle-income
12,2002,0.133333333,135,EARS-Net,3GCREC,Upper-middle-income
12,2003,0,118,EARS-Net,CREC,Upper-middle-income
12,2003,0.183544304,158,EARS-Net,3GCREC,Upper-middle-income
12,2004,0,113,EARS-Net,CREC,Upper-middle-income
12,2004,0.215568862,167,EARS-Net,3GCREC,Upper-middle-income
12,2005,0,156,EARS-Net,CREC,Upper-middle-income
12,2005,0.280788177,203,EARS-Net,3GCREC,Upper-middle-income
12,2005,0,30,EARS-Net,CRKP,Upper-middle-income
12,2005,0.5,34,EARS-Net,3GCRKP,Upper-middle-income
12,2005,0.375,32,EARS-Net,CRPA,Upper-middle-income
12,2006,0,149,EARS-Net,CREC,Low-income
12,2006,0.285714286,196,EARS-Net,3GCREC,Low-income
12,2006,0,47,EARS-Net,CRKP,Low-income
12,2006,0.6,55,EARS-Net,3GCRKP,Low-income
12,2007,0,78,EARS-Net,CREC,Low-income
12,2007,0.228346457,127,EARS-Net,3GCREC,Low-income
12,2008,0,118,EARS-Net,CREC,Low-income
12,2008,0.292517007,147,EARS-Net,3GCREC,Low-income
12,2008,0,45,EARS-Net,CRKP,Low-income
12,2008,0.734693878,49,EARS-Net,3GCRKP,Low-income
12,2009,0.006622517,151,EARS-Net,CREC,Low-income
12,2009,0.191709845,193,EARS-Net,3GCREC,Low-income
12,2009,0,88,EARS-Net,CRKP,Low-income
12,2009,0.694736842,95,EARS-Net,3GCRKP,Low-income
12,2009,0.235294118,34,EARS-Net,CRPA,Low-income
12,2010,0,146,EARS-Net,CREC,Low-income
12,2010,0.248366013,153,EARS-Net,3GCREC,Low-income
12,2010,0,126,EARS-Net,CRKP,Low-income
12,2010,0.755905512,127,EARS-Net,3GCRKP,Low-income
12,2010,0.30952381,42,EARS-Net,CRPA,Low-income
12,2011,0,145,EARS-Net,CREC,Low-income
12,2011,0.229050279,179,EARS-Net,3GCREC,Low-income
12,2011,0,116,EARS-Net,CRKP,Low-income
12,2011,0.809917355,121,EARS-Net,3GCRKP,Low-income
12,2011,0.291666667,48,EARS-Net,CRPA,Low-income
12,2012,0.603448276,58,EARS-Net,CRAB,Low-income
12,2012,0.02617801,191,EARS-Net,CREC,Low-income
12,2012,0.381165919,223,EARS-Net,3GCREC,Low-income
12,2012,0.018518519,108,EARS-Net,CRKP,Low-income
12,2012,0.748031496,127,EARS-Net,3GCRKP,Low-income
12,2012,0.31372549,51,EARS-Net,CRPA,Low-income
12,2013,0.595505618,89,EARS-Net,CRAB,Low-income
12,2013,0.028409091,176,EARS-Net,CREC,Low-income
12,2013,0.395721925,187,EARS-Net,3GCREC,Low-income
12,2013,0,129,EARS-Net,CRKP,Low-income
12,2013,0.695652174,138,EARS-Net,3GCRKP,Low-income
12,2013,0.13559322,59,EARS-Net,CRPA,Low-income
12,2014,0.590909091,110,EARS-Net,CRAB,Low-income
12,2014,0.005076142,197,EARS-Net,CREC,Low-income
12,2014,0.403669725,218,EARS-Net,3GCREC,Low-income
12,2014,0.071942446,139,EARS-Net,CRKP,Low-income
12,2014,0.748344371,151,EARS-Net,3GCRKP,Low-income
12,2014,0.291666667,48,EARS-Net,CRPA,Low-income
12,2015,0.738461538,130,EARS-Net,CRAB,Low-income
12,2015,0,182,EARS-Net,CREC,Low-income
12,2015,0.385365854,205,EARS-Net,3GCREC,Low-income
12,2015,0.031578947,95,EARS-Net,CRKP,Low-income
12,2015,0.75,96,EARS-Net,3GCRKP,Low-income
12,2015,0.254545455,55,EARS-Net,CRPA,Low-income
12,2016,0.747572816,103,EARS-Net,CRAB,Low-income
12,2016,0.008928571,224,EARS-Net,CREC,Low-income
12,2016,0.415966387,238,EARS-Net,3GCREC,Low-income
12,2016,0.044025157,159,EARS-Net,CRKP,Low-income
12,2016,0.725,160,EARS-Net,3GCRKP,Low-income
12,2016,0.303571429,56,EARS-Net,CRPA,Low-income
12,2017,0.804347826,92,EARS-Net,CRAB,Low-income
12,2017,0,247,EARS-Net,CREC,Low-income
12,2017,0.412955466,247,EARS-Net,3GCREC,Low-income
12,2017,0.124260355,169,EARS-Net,CRKP,Low-income
12,2017,0.763313609,169,EARS-Net,3GCRKP,Low-income
12,2017,0.253521127,71,EARS-Net,CRPA,Low-income
12,2018,0.745454545,110,EARS-Net,CRAB,Low-income
12,2018,0.01369863,292,EARS-Net,CREC,Low-income
12,2018,0.386986301,292,EARS-Net,3GCREC,Low-income
12,2018,0.212435233,193,EARS-Net,CRKP,Low-income
12,2018,0.777202073,193,EARS-Net,3GCRKP,Low-income
12,2018,0.255555556,90,EARS-Net,CRPA,Low-income
12,2019,0.71969697,132,EARS-Net,CRAB,Low-income
12,2019,0,352,EARS-Net,CREC,Low-income
12,2019,0.386363636,352,EARS-Net,3GCREC,Low-income
12,2019,0.269662921,267,EARS-Net,CRKP,Low-income
12,2019,0.756554307,267,EARS-Net,3GCRKP,Low-income
12,2019,0.252336449,107,EARS-Net,CRPA,Low-income
12,2020,0.829457364,129,EARS-Net,CRAB,Low-income
12,2020,0.007662835,261,EARS-Net,CREC,Low-income
12,2020,0.413793103,261,EARS-Net,3GCREC,Low-income
12,2020,0.281124498,249,EARS-Net,CRKP,Low-income
12,2020,0.791164659,249,EARS-Net,3GCRKP,Low-income
12,2020,0.428571429,70,EARS-Net,CRPA,Low-income
12,2021,0.778801843,217,EARS-Net,CRAB,Low-income
12,2021,0.003802281,263,EARS-Net,CREC,Low-income
12,2021,0.372623574,263,EARS-Net,3GCREC,Low-income
12,2021,0.462809917,242,EARS-Net,CRKP,Low-income
12,2021,0.814049587,242,EARS-Net,3GCRKP,Low-income
12,2021,0.325301205,83,EARS-Net,CRPA,Low-income
12,2022,0.79375,160,EARS-Net,CRAB,Low-income
12,2022,0,239,EARS-Net,CREC,Low-income
12,2022,0.40167364,239,EARS-Net,3GCREC,Low-income
12,2022,0.473076923,260,EARS-Net,CRKP,Low-income
12,2022,0.784615385,260,EARS-Net,3GCRKP,Low-income
12,2022,0.407894737,76,EARS-Net,CRPA,Low-income
13,2020,0,32,GLASS,CRKP,Lower-middle-income
14,2018,0.23,98,GLASS,CRAB,Upper-middle-income
14,2018,0.06,210,GLASS,CREC,Upper-middle-income
14,2018,0.56,253,GLASS,3GCREC,Upper-middle-income
14,2018,0.05,87,GLASS,CRKP,Upper-middle-income
14,2018,0.53,89,GLASS,3GCRKP,Upper-middle-income
